cell_idx,cell_type,gene,cosine_distance,p_value,null_mean,gene_in_cell,n_tokens
0,pvalb GABAergic cortical interneuron,NLGN1,0.00066691637,0.5098039215686274,0.00089903356,True,2048
0,pvalb GABAergic cortical interneuron,NEGR1,0.0019062757,0.13725490196078433,0.0009098792,True,2048
0,pvalb GABAergic cortical interneuron,TCF4,0.0018154383,0.09803921568627451,0.0034910475,True,2048
0,pvalb GABAergic cortical interneuron,MEF2C,0.0014314055,0.19607843137254902,0.000904603,True,2048
0,pvalb GABAergic cortical interneuron,GRIN2A,0.00045019388,0.6274509803921569,0.00086781144,True,2048
0,pvalb GABAergic cortical interneuron,GRIN2B,0.0014006495,0.29411764705882354,0.0009131169,True,2048
0,pvalb GABAergic cortical interneuron,MAPT,0.0004900098,0.5882352941176471,0.0009381056,True,2048
0,pvalb GABAergic cortical interneuron,SCN1A,0.0003119707,0.9215686274509803,0.0038705624,True,2048
0,pvalb GABAergic cortical interneuron,HOMER1,0.0019221306,0.09803921568627451,0.0007700515,True,2048
0,pvalb GABAergic cortical interneuron,CREB1,0.0001000762,0.9803921568627451,0.00091773155,True,2048
0,pvalb GABAergic cortical interneuron,SYN1,0.0011886358,0.27450980392156865,0.00081092236,True,2048
1,glutamatergic neuron,CADM2,0.057777226,0.803921568627451,0.05955964,True,2048
1,glutamatergic neuron,NRXN1,0.058432102,0.8235294117647058,0.058466148,True,2048
1,glutamatergic neuron,NLGN1,0.060474932,0.45098039215686275,0.058983162,True,2048
1,glutamatergic neuron,NEGR1,0.060748875,0.37254901960784315,0.058245495,True,2048
1,glutamatergic neuron,TCF4,0.060421884,0.5294117647058824,0.060449854,True,2048
1,glutamatergic neuron,MEF2C,0.063046455,0.0784313725490196,0.058454685,True,2048
1,glutamatergic neuron,APP,0.058343768,0.7450980392156863,0.058640823,True,2048
1,glutamatergic neuron,GRIN2A,0.06069386,0.5294117647058824,0.060300816,True,2048
1,glutamatergic neuron,GRIN2B,0.057941496,0.803921568627451,0.05961982,True,2048
1,glutamatergic neuron,MAPT,0.06017822,0.49019607843137253,0.058686696,True,2048
1,glutamatergic neuron,SCN1A,0.05925286,0.6470588235294118,0.058254145,True,2048
1,glutamatergic neuron,FOXO3,0.061009586,0.3137254901960784,0.05836983,True,2048
1,glutamatergic neuron,CAMK2A,0.06071776,0.45098039215686275,0.0600982,True,2048
1,glutamatergic neuron,HOMER1,0.06255239,0.09803921568627451,0.059267674,True,2048
1,glutamatergic neuron,SHANK3,0.061812997,0.21568627450980393,0.05921596,True,2048
1,glutamatergic neuron,BDNF,0.059861124,0.6274509803921569,0.059787177,True,2048
2,microglial cell,TCF4,0.00020051003,0.9215686274509803,0.00072017906,True,2048
2,microglial cell,MEF2C,0.0016242862,0.0196078431372549,0.0006981599,True,2048
2,microglial cell,DISC1,0.00090259314,0.19607843137254902,0.00069141865,True,2048
2,microglial cell,FOXO3,0.00033473969,0.8823529411764706,0.0007637084,True,2048
2,microglial cell,CREB1,0.0005238056,0.6862745098039216,0.0028930937,True,2048
3,oligodendrocyte,CADM2,0.0013363361,0.5098039215686274,0.0026107419,True,2048
