cell_idx,cell_type,gene,cosine_distance,p_value,null_mean,gene_in_cell,n_tokens
0,pvalb GABAergic cortical interneuron,NRXN1,0.016966522,0.8709677419354839,0.024478225,True,2048
0,pvalb GABAergic cortical interneuron,NLGN1,0.018609285,0.6774193548387096,0.02367538,True,2048
0,pvalb GABAergic cortical interneuron,NEGR1,0.023506999,0.45161290322580644,0.02271785,True,2048
0,pvalb GABAergic cortical interneuron,TCF4,0.0157184,0.8387096774193549,0.02194419,True,2048
0,pvalb GABAergic cortical interneuron,MEF2C,0.015332639,0.9354838709677419,0.022705952,True,2048
0,pvalb GABAergic cortical interneuron,APP,0.018482924,0.6774193548387096,0.026622413,True,2048
0,pvalb GABAergic cortical interneuron,GRIN2A,0.012219071,0.9354838709677419,0.022924148,True,2048
0,pvalb GABAergic cortical interneuron,GRIN2B,0.029690564,0.3548387096774194,0.025170235,True,2048
0,pvalb GABAergic cortical interneuron,MAPT,0.026198864,0.3870967741935484,0.024388464,True,2048
0,pvalb GABAergic cortical interneuron,SCN1A,0.024238944,0.3548387096774194,0.022233278,True,2048
1,oligodendrocyte,CADM2,0.0038961768,0.3225806451612903,0.0028358777,True,2048
1,oligodendrocyte,TCF4,0.0048666596,0.0967741935483871,0.0027643084,True,2048
1,oligodendrocyte,APP,0.0055461526,0.06451612903225806,0.0024143816,True,2048
1,oligodendrocyte,FMR1,0.0011817813,0.8709677419354839,0.0033875029,True,2048
2,glutamatergic neuron,CADM2,0.10975617,0.1935483870967742,0.07724229,True,2048
2,glutamatergic neuron,NRXN1,0.10931128,0.2903225806451613,0.07666429,True,2048
2,glutamatergic neuron,NEGR1,0.100937486,0.5806451612903226,0.07933631,True,2048
2,glutamatergic neuron,TCF4,0.10846645,0.3870967741935484,0.08210527,True,2048
2,glutamatergic neuron,MEF2C,0.063773334,0.5806451612903226,0.07899044,True,2048
2,glutamatergic neuron,APP,0.10417515,0.41935483870967744,0.07523689,True,2048
2,glutamatergic neuron,GRIN2A,0.061101437,0.6451612903225806,0.07114962,True,2048
2,glutamatergic neuron,GRIN2B,0.065211356,0.4838709677419355,0.07686232,True,2048
2,glutamatergic neuron,SCN1A,0.11305773,0.16129032258064516,0.08504866,True,2048
2,glutamatergic neuron,CAMK2A,0.05728197,0.8064516129032258,0.0689081,True,2048
2,glutamatergic neuron,BDNF,0.06410217,0.5806451612903226,0.07589913,True,2048
3,glutamatergic neuron,NLGN1,0.00012874603,0.8709677419354839,0.0017302871,True,2048
3,glutamatergic neuron,NEGR1,0.0012919307,0.3548387096774194,0.00082552235,True,2048
3,glutamatergic neuron,MEF2C,0.00060778856,0.5161290322580645,0.0006545941,True,2048
3,glutamatergic neuron,GRIN2A,0.0013567209,0.22580645161290322,0.0008518219,True,2048
3,glutamatergic neuron,GRIN2B,0.00056660175,0.6129032258064516,0.00089819235,True,2048
3,glutamatergic neuron,SCN1A,0.00061005354,0.5483870967741935,0.00076485076,True,2048
3,glutamatergic neuron,CAMK2A,0.0015364289,0.16129032258064516,0.0010671158,True,2048
3,glutamatergic neuron,SHANK3,0.00049334764,0.6774193548387096,0.000727886,True,2048
3,glutamatergic neuron,SYN1,0.0012747645,0.22580645161290322,0.00075443985,True,2048
4,oligodendrocyte precursor cell,CADM2,0.0009875894,0.3225806451612903,0.0007940491,True,2048
4,oligodendrocyte precursor cell,NRXN1,0.0010142922,0.1935483870967742,0.0007542292,True,2048
4,oligodendrocyte precursor cell,NLGN1,0.0008120537,0.5483870967741935,0.0006771644,True,2048
4,oligodendrocyte precursor cell,TCF4,0.00089609623,0.4838709677419355,0.00078007975,True,2048
4,oligodendrocyte precursor cell,APP,0.0009197593,0.3548387096774194,0.00076652167,True,2048
4,oligodendrocyte precursor cell,DISC1,0.0009486079,0.41935483870967744,0.00078359246,True,2048
4,oligodendrocyte precursor cell,CAMK2A,0.00039929152,0.8064516129032258,0.00076992315,True,2048
4,oligodendrocyte precursor cell,CREB1,0.00026488304,0.9354838709677419,0.00085207226,True,2048
4,oligodendrocyte precursor cell,SHANK3,0.0011655688,0.06451612903225806,0.0007463197,True,2048
5,oligodendrocyte,CADM2,6.222725e-05,0.9354838709677419,0.088977166,True,1641
5,oligodendrocyte,NLGN1,0.099377275,0.41935483870967744,0.07349865,True,1641
5,oligodendrocyte,NEGR1,2.9146671e-05,1.0,0.076663174,True,1641
5,oligodendrocyte,TCF4,9.357929e-05,0.9354838709677419,0.08265721,True,1641
5,oligodendrocyte,APP,2.9087067e-05,1.0,0.08347519,True,1641
5,oligodendrocyte,MAPT,0.099230826,0.41935483870967744,0.08298022,True,1641
