gene,n_cells,mean_cosine_distance,std_cosine_distance,mean_null_distance,effect_size,median_empirical_p,min_p,n_significant_005,percent_significant,mean_null_samples,fdr_corrected
SHANK3,1321,0.011189851083276305,0.022167548147154086,0.009006875661854655,0.0021829754214216495,0.3548387096774194,0.032258064516129,43,3.2551097653292964,30.0,1.0
BDNF,432,0.00877682173474537,0.01687024977112227,0.007675794428935185,0.0011010273058101845,0.3870967741935484,0.032258064516129,15,3.4722222222222223,30.0,1.0
SYN1,1067,0.008701237813007499,0.02062085416581433,0.008575155282080601,0.00012608253092689752,0.5161290322580645,0.032258064516129,17,1.5932521087160263,30.0,1.0
FMR1,756,0.008086842755318784,0.019872624683258525,0.009155652969021164,-0.0010688102137023803,0.5483870967741935,0.032258064516129,7,0.9259259259259258,30.0,1.0
SLC6A4,13,0.003667629666153846,0.00887137623644332,0.00480076437076923,-0.0011331347046153843,0.8064516129032258,0.032258064516129,1,7.6923076923076925,30.0,1.0
COMT,87,0.007429690830344826,0.019228971907727637,0.009518295781954022,-0.002088604951609196,0.7096774193548387,0.032258064516129,2,2.2988505747126435,30.0,1.0
FOXO3,167,0.0069328924332934146,0.01854399018083422,0.009291162935928144,-0.00235827050263473,0.6774193548387096,0.032258064516129,2,1.1976047904191618,30.0,1.0
CREB1,344,0.006454219830857559,0.0185647047598888,0.009060212911133722,-0.0026059930802761633,0.7741935483870968,0.032258064516129,3,0.872093023255814,30.0,1.0
GRIN2B,63,0.0042941485219206346,0.013809377732500256,0.00821351138142857,-0.003919362859507936,0.935483870967742,0.032258064516129,1,1.5873015873015872,30.0,1.0
HOMER1,446,0.005142152304352018,0.01732124442745197,0.009142408543565024,-0.004000256239213006,0.8387096774193549,0.032258064516129,5,1.1210762331838564,30.0,1.0
CAMK2A,48,0.006959374946458333,0.0215354919820269,0.011270760042500001,-0.004311385096041669,0.8387096774193549,0.064516129032258,0,0.0,30.0,1.0
GRIN2A,66,0.002258118341909091,0.009877184613859223,0.006610755919848485,-0.004352637577939394,0.967741935483871,0.064516129032258,0,0.0,30.0,1.0
APP,174,0.003750404787764368,0.014372301667737801,0.00852536916408046,-0.0047749643763160925,0.8709677419354839,0.1290322580645161,0,0.0,30.0,1.0
MAPT,160,0.0041183009774375,0.013997392027510812,0.008902018011125,-0.0047837170336875,0.8387096774193549,0.032258064516129,1,0.625,30.0,1.0
TCF4,196,0.0039020244885816326,0.01616608173100003,0.009009112343469388,-0.005107087854887756,0.935483870967742,0.032258064516129,1,0.5102040816326531,30.0,1.0
MEF2C,124,0.0036167944314516127,0.015074035499138081,0.008927237189112903,-0.005310442757661291,0.9032258064516128,0.032258064516129,1,0.8064516129032258,30.0,1.0
SCN1A,92,0.00414459152126087,0.01592005896707019,0.009594835297608694,-0.005450243776347824,0.8709677419354839,0.1935483870967742,0,0.0,30.0,1.0
NEGR1,147,0.003868461015687075,0.017726556603353285,0.009617166152585035,-0.00574870513689796,0.967741935483871,0.032258064516129,2,1.3605442176870748,30.0,1.0
NLGN1,173,0.0033162284697456647,0.01652229075463408,0.009268571999364162,-0.005952343529618497,0.967741935483871,0.032258064516129,3,1.7341040462427744,30.0,1.0
CADM2,207,0.00014034993356908213,0.00040718286540112903,0.008152836420772946,-0.008012486487203863,1.0,0.1935483870967742,0,0.0,30.0,1.0
NRXN1,151,0.000194927320781457,0.0008734802983342174,0.00910657792986755,-0.008911650609086094,1.0,0.032258064516129,1,0.6622516556291391,30.0,1.0
