gene,mean_score,se_score,ci_95_low,ci_95_high,p_value,effect_size,specificity_index,n_cells,p_value_fdr,significance
CADM2,0.0033989590787295173,4.247544678280743e-05,0.0033156792940511465,0.003482238863407888,0.795,2.015302883439922,0.15207959323999654,3425,1.0,
APP,0.0005386475354698618,7.793611273157285e-06,0.000523366936491956,0.0005539281344477676,0.123,-0.06585585956028757,0.11071045150890624,3425,1.0,
FOXO3,0.00021501299040505752,4.544944837472943e-06,0.000206101912214986,0.00022392406859512905,0.601,-0.3193170906803302,0.026028378664649576,3425,1.0,
NLGN1,0.0017194406165076913,2.8224540948749437e-05,0.0016641019709867425,0.00177477926202864,1.0,0.8294907919532327,0.2569839233164084,3425,1.0,
MAPT,0.00037053070094833344,5.2799075967854275e-06,0.0003601786128342194,0.00038088278906244746,0.457,-0.19751287376715113,0.15332399860006174,3425,1.0,
TCF4,0.000861796933192463,9.20004040477358e-06,0.0008437588090060454,0.0008798350573788807,1.0,0.1864416645095567,0.05879719001134376,3425,1.0,
CREB1,8.534126854385497e-05,2.451613485536247e-06,8.05344952511797e-05,9.014804183653023e-05,0.518,-0.4211054537050018,0.03241510728651853,3425,1.0,
DISC1,0.00023451930383924156,8.336747284900536e-06,0.00021817380140451428,0.0002508648062739688,0.027,-0.303372410812417,0.30412387422559684,3425,0.594,
NEGR1,0.0009301411756733522,1.7571822479147626e-05,0.0008956888578448252,0.0009645934935018791,1.0,0.23738543458649874,0.2022927217887508,3425,1.0,
GRIN2A,0.0005284896360439807,1.465651418931127e-05,0.0004997532380005967,0.0005572260340873646,0.998,-0.07328161637987218,0.4098231357579526,3425,1.0,
FMR1,3.288229139731262e-05,1.3170574641296466e-06,3.0299993379763473e-05,3.5464589414861765e-05,1.0,-0.46228806116870874,0.061388251038850705,3425,1.0,
COMT,4.027442343353399e-05,1.3510699380319544e-06,3.7625438618846565e-05,4.292340824822142e-05,1.0,-0.4564946108951877,0.04389576305900311,3425,1.0,
BDNF,7.940751683812454e-06,6.693685146634176e-07,6.628349578739983e-06,9.253153788884924e-06,0.999,-0.48185748435296294,0.49272087153304267,3425,1.0,
CAMK2A,0.00012646285312647393,3.39952874165838e-06,0.00011979754309310577,0.0001331281631598421,0.94,-0.3887954957216472,0.33360227025097955,3425,1.0,
HOMER1,0.00011036148966795021,3.520021915309786e-06,0.00010345993384279053,0.0001172630454931099,0.776,-0.40138959118049855,0.21744325384159457,3425,1.0,
SHANK3,3.597928959241289e-05,1.1244423121547918e-06,3.377464383275007e-05,3.818393535207571e-05,0.945,-0.459871519255694,0.1262201197762034,3425,1.0,
NRXN1,0.002871475020988785,4.394815040350766e-05,0.0027853077695568777,0.0029576422724206923,1.0,1.624277404888148,0.2618910304184212,3425,1.0,
MEF2C,0.000774815627413021,1.784307002385383e-05,0.0007398314861705303,0.0008097997686555118,1.0,0.11731366291023958,0.23807600624687164,3425,1.0,
SLC6A4,9.41802915478777e-07,1.604797951552569e-07,6.271570718671122e-07,1.2564487590904418e-06,0.836,-0.487350719486553,0.4464467229414799,3425,1.0,
SCN1A,0.0003167997404468936,6.427196043457312e-06,0.00030419821313814607,0.00032940126775564117,0.922,-0.23941305775892158,0.29434117313770325,3425,1.0,
GRIN2B,0.00047882228046988387,9.215621830648546e-06,0.000460753606450795,0.0004968909544889727,1.0,-0.11247807326300906,0.3920816650390405,3425,1.0,
SYN1,2.482216592145216e-05,8.734037871627018e-07,2.3109720618543077e-05,2.6534611224361242e-05,0.728,-0.46862378438931496,0.23818474121169597,3425,1.0,
